,50words,Adiac,Beef,CBF,Car,ChlorineConcentration,CinCECGtorso,Coffee,CricketX,CricketY,CricketZ,DiatomSizeReduction,ECGFiveDays,FISH,FaceAll,FaceFour,FacesUCR,GunPoint,Haptics,InlineSkate,ItalyPowerDemand,Lighting2,Lighting7,MALLAT,MedicalImages,MoteStrain,NonInvasiveFatalECGThorax1,NonInvasiveFatalECGThorax2,OSULeaf,OliveOil,SonyAIBORobotSurface,SonyAIBORobotSurfaceII,SwedishLeaf,Symbols,Trace,TwoLeadECG,TwoPatterns,WordSynonyms,syntheticcontrol,uWaveGestureLibraryX,uWaveGestureLibraryY,uWaveGestureLibraryZ,wafer,yoga
1,0.69010989011,0.429667519182,0.633333333333,0.995555555556,0.75,0.569791666667,0.830434782609,0.928571428571,0.746153846154,0.723076923077,0.748717948718,0.90522875817,0.990708478513,0.885714285714,0.76449704142,0.988636363636,0.910243902439,0.74,0.477272727273,0.3,0.960155490768,0.72131147541,0.72602739726,0.926226012793,0.732894736842,0.860223642173,0.873282442748,0.906870229008,0.809917355372,0.866666666667,0.963394342762,0.90870933893,0.8928,0.918592964824,1.0,0.932396839333,0.99875,0.605015673981,0.993333333333,0.817978782803,0.721384701284,0.744556113903,0.997728747567,0.795666666667
2,0.70989010989,0.416879795396,0.633333333333,0.997777777778,0.733333333333,0.56953125,0.829710144928,0.928571428571,0.728205128205,0.746153846154,0.753846153846,0.901960784314,0.997677119628,0.874285714286,0.762721893491,0.988636363636,0.903902439024,0.733333333333,0.477272727273,0.290909090909,0.958211856171,0.688524590164,0.72602739726,0.91855010661,0.725,0.849840255591,0.87786259542,0.90534351145,0.814049586777,0.9,0.968386023295,0.92130115425,0.8864,0.941708542714,1.0,0.933274802458,0.99925,0.614420062696,0.99,0.815187046343,0.72445561139,0.745672808487,0.996268656716,0.806333333333
3,0.701098901099,0.429667519182,0.6,0.995555555556,0.733333333333,0.569791666667,0.842028985507,0.928571428571,0.730769230769,0.735897435897,0.738461538462,0.892156862745,0.996515679443,0.868571428571,0.762130177515,0.988636363636,0.908292682927,0.726666666667,0.483766233766,0.290909090909,0.958211856171,0.704918032787,0.739726027397,0.927078891258,0.726315789474,0.861022364217,0.877353689567,0.906870229008,0.818181818182,0.866666666667,0.968386023295,0.909758656873,0.8944,0.939698492462,1.0,0.926251097454,0.99925,0.598746081505,0.993333333333,0.815187046343,0.722501395868,0.750139586823,0.998215444517,0.793
4,0.707692307692,0.401534526854,0.633333333333,0.995555555556,0.716666666667,0.56640625,0.808695652174,0.928571428571,0.730769230769,0.74358974359,0.751282051282,0.895424836601,0.996515679443,0.897142857143,0.76449704142,0.988636363636,0.906341463415,0.753333333333,0.470779220779,0.296363636364,0.960155490768,0.72131147541,0.739726027397,0.910874200426,0.731578947368,0.862619808307,0.878371501272,0.904834605598,0.805785123967,0.866666666667,0.970049916805,0.91815320042,0.8912,0.924623115578,1.0,0.922739244952,0.99925,0.608150470219,0.99,0.814349525405,0.719151312116,0.741764377443,0.996917585983,0.803666666667
5,0.692307692308,0.442455242967,0.666666666667,0.996666666667,0.733333333333,0.569270833333,0.823913043478,0.928571428571,0.748717948718,0.735897435897,0.751282051282,0.90522875817,0.98606271777,0.874285714286,0.762130177515,0.977272727273,0.909268292683,0.746666666667,0.493506493506,0.276363636364,0.957240038873,0.754098360656,0.72602739726,0.91684434968,0.730263157895,0.86821086262,0.87989821883,0.906870229008,0.818181818182,0.866666666667,0.963394342762,0.91815320042,0.8864,0.929648241206,1.0,0.928007023705,0.9995,0.609717868339,0.993333333333,0.811836962591,0.719709659408,0.743997766611,0.996917585983,0.793666666667
6,0.694505494505,0.42199488491,0.6,0.997777777778,0.733333333333,0.569791666667,0.834057971014,0.928571428571,0.74358974359,0.74358974359,0.753846153846,0.898692810458,0.998838559814,0.857142857143,0.762130177515,0.988636363636,0.903902439024,0.72,0.487012987013,0.303636363636,0.962099125364,0.688524590164,0.712328767123,0.903198294243,0.723684210526,0.861821086262,0.878371501272,0.902798982188,0.801652892562,0.866666666667,0.956738768719,0.92130115425,0.8816,0.923618090452,1.0,0.927129060579,0.999,0.611285266458,0.996666666667,0.813791178113,0.719430485762,0.747627024009,0.9961064244,0.811333333333
7,0.703296703297,0.411764705882,0.6,0.996666666667,0.75,0.56953125,0.83768115942,0.928571428571,0.746153846154,0.738461538462,0.751282051282,0.892156862745,0.981416957027,0.88,0.761538461538,0.988636363636,0.906341463415,0.753333333333,0.49025974026,0.290909090909,0.961127308066,0.737704918033,0.712328767123,0.924093816631,0.726315789474,0.859424920128,0.878880407125,0.90737913486,0.805785123967,0.866666666667,0.968386023295,0.903462749213,0.8864,0.932663316583,1.0,0.93678665496,0.9995,0.608150470219,0.996666666667,0.814628699051,0.724176437744,0.746789503071,0.998215444517,0.807333333333
8,0.703296703297,0.424552429668,0.633333333333,0.997777777778,0.75,0.569270833333,0.836231884058,0.928571428571,0.733333333333,0.730769230769,0.748717948718,0.892156862745,0.938443670151,0.88,0.766863905325,0.988636363636,0.914634146341,0.746666666667,0.483766233766,0.292727272727,0.959183673469,0.72131147541,0.72602739726,0.920255863539,0.732894736842,0.865015974441,0.872773536896,0.901272264631,0.809917355372,0.866666666667,0.966722129784,0.903462749213,0.8992,0.936683417085,1.0,0.928884986831,0.9995,0.603448275862,0.993333333333,0.811836962591,0.720547180346,0.749860413177,0.99756651525,0.804333333333
9,0.707692307692,0.432225063939,0.633333333333,0.998888888889,0.75,0.569010416667,0.830434782609,0.928571428571,0.725641025641,0.730769230769,0.751282051282,0.901960784314,0.967479674797,0.885714285714,0.76449704142,0.988636363636,0.913170731707,0.726666666667,0.480519480519,0.278181818182,0.960155490768,0.688524590164,0.72602739726,0.901066098081,0.719736842105,0.861821086262,0.877353689567,0.902290076336,0.818181818182,0.866666666667,0.95840266223,0.895068205666,0.8912,0.946733668342,1.0,0.927129060579,0.9995,0.603448275862,0.986666666667,0.814349525405,0.720547180346,0.745951982133,0.99659312135,0.796
