,50words,Adiac,Beef,CBF,Car,ChlorineConcentration,CinCECGtorso,Coffee,CricketX,CricketY,CricketZ,DiatomSizeReduction,ECGFiveDays,FISH,FaceAll,FaceFour,FacesUCR,GunPoint,Haptics,InlineSkate,ItalyPowerDemand,Lighting2,Lighting7,MALLAT,MedicalImages,MoteStrain,NonInvasiveFatalECGThorax1,NonInvasiveFatalECGThorax2,OSULeaf,OliveOil,SonyAIBORobotSurface,SonyAIBORobotSurfaceII,StarLightCurves,SwedishLeaf,Symbols,Trace,TwoLeadECG,TwoPatterns,WordSynonyms,syntheticcontrol,uWaveGestureLibraryX,uWaveGestureLibraryY,uWaveGestureLibraryZ,wafer,yoga
0,0.6,0.654731457801,0.5,0.98,0.733333333333,0.585677083333,0.754347826087,0.857142857143,0.566666666667,0.646153846154,0.612820512821,0.866013071895,0.816492450639,0.84,0.704733727811,0.875,0.799024390244,0.86,0.451298701299,0.290909090909,0.938775510204,0.737704918033,0.671232876712,0.961194029851,0.668421052632,0.825878594249,0.835623409669,0.871755725191,0.619834710744,0.833333333333,0.835274542429,0.868835257083,0.957382224381,0.8608,0.842211055276,0.99,0.902546093064,0.97925,0.534482758621,0.98,0.747627024009,0.665549972083,0.693467336683,0.988319273199,0.802
1,0.602197802198,0.713554987212,0.666666666667,0.983333333333,0.666666666667,0.59453125,0.704347826087,0.928571428571,0.551282051282,0.6,0.597435897436,0.895424836601,0.890824622532,0.84,0.710650887574,0.943181818182,0.793658536585,0.9,0.441558441558,0.323636363636,0.940719144801,0.770491803279,0.712328767123,0.963752665245,0.665789473684,0.834664536741,0.842239185751,0.87582697201,0.628099173554,0.866666666667,0.903494176373,0.890870933893,0.959810587664,0.8496,0.821105527638,0.98,0.91922739245,0.98025,0.525078369906,0.963333333333,0.752652149637,0.660804020101,0.702680067002,0.990914990266,0.777333333333
2,0.584615384615,0.687979539642,0.566666666667,0.93,0.683333333333,0.58203125,0.707971014493,0.892857142857,0.592307692308,0.587179487179,0.635897435897,0.947712418301,0.991869918699,0.857142857143,0.707692307692,0.909090909091,0.794146341463,0.893333333333,0.418831168831,0.325454545455,0.932944606414,0.72131147541,0.671232876712,0.950106609808,0.693421052632,0.825878594249,0.828498727735,0.87989821883,0.657024793388,0.833333333333,0.890183028286,0.904512067156,0.958717824186,0.8864,0.801005025126,0.98,0.892888498683,0.97125,0.514106583072,0.98,0.755164712451,0.671970965941,0.697375767728,0.989292667099,0.810666666667
3,0.597802197802,0.654731457801,0.6,0.98,0.716666666667,0.605208333333,0.71884057971,0.892857142857,0.582051282051,0.612820512821,0.635897435897,0.934640522876,0.962833914053,0.811428571429,0.705917159763,0.909090909091,0.798048780488,0.9,0.425324675325,0.325454545455,0.935860058309,0.672131147541,0.72602739726,0.957782515991,0.667105263158,0.837060702875,0.841730279898,0.881933842239,0.706611570248,0.866666666667,0.941763727121,0.846799580273,0.95823215153,0.8576,0.814070351759,0.99,0.904302019315,0.98,0.531347962382,0.97,0.752093802345,0.656337241764,0.695421552205,0.990266060999,0.812333333333
4,0.578021978022,0.677749360614,0.566666666667,0.972222222222,0.75,0.580729166667,0.729710144928,0.928571428571,0.553846153846,0.633333333333,0.674358974359,0.885620915033,0.904761904762,0.868571428571,0.692307692308,0.954545454545,0.801951219512,0.886666666667,0.448051948052,0.283636363636,0.940719144801,0.688524590164,0.698630136986,0.956503198294,0.665789473684,0.829073482428,0.852417302799,0.874809160305,0.595041322314,0.866666666667,0.896838602329,0.849947534103,0.957503642545,0.88,0.769849246231,1.0,0.89552238806,0.977,0.543887147335,0.973333333333,0.742322724735,0.672808486879,0.687604690117,0.992375081116,0.811
5,0.593406593407,0.659846547315,0.666666666667,0.981111111111,0.783333333333,0.579947916667,0.750724637681,0.892857142857,0.571794871795,0.615384615385,0.623076923077,0.87908496732,0.955865272938,0.862857142857,0.726035502959,0.840909090909,0.820487804878,0.893333333333,0.448051948052,0.3,0.939747327502,0.672131147541,0.671232876712,0.976545842217,0.669736842105,0.857827476038,0.832569974555,0.881424936387,0.669421487603,0.866666666667,0.881863560732,0.847848898216,0.959567751336,0.8608,0.87135678392,1.0,0.89552238806,0.97275,0.539184952978,0.976666666667,0.756002233389,0.666387493021,0.691792294807,0.990752757949,0.783333333333
6,0.58021978022,0.664961636829,0.633333333333,0.945555555556,0.716666666667,0.572916666667,0.726086956522,0.857142857143,0.6,0.571794871795,0.620512820513,0.915032679739,0.831591173055,0.817142857143,0.718934911243,0.988636363636,0.792682926829,0.886666666667,0.438311688312,0.289090909091,0.945578231293,0.72131147541,0.684931506849,0.963752665245,0.636842105263,0.83945686901,0.829007633588,0.876844783715,0.661157024793,0.866666666667,0.891846921797,0.86463798531,0.958717824186,0.872,0.900502512563,0.99,0.907813871817,0.986,0.529780564263,0.986666666667,0.744556113903,0.679229480737,0.684533780011,0.990590525633,0.786666666667
7,0.589010989011,0.690537084399,0.666666666667,0.931111111111,0.766666666667,0.5921875,0.777536231884,0.964285714286,0.589743589744,0.633333333333,0.661538461538,0.754901960784,0.925667828107,0.834285714286,0.709467455621,0.931818181818,0.786829268293,0.933333333333,0.415584415584,0.305454545455,0.935860058309,0.770491803279,0.643835616438,0.942004264392,0.655263157895,0.821884984026,0.838167938931,0.869720101781,0.644628099174,0.866666666667,0.903494176373,0.807974816369,0.9596891695,0.8624,0.835175879397,0.99,0.897278314311,0.9835,0.540752351097,0.983333333333,0.747068676717,0.658570630932,0.690117252931,0.986048020766,0.811
8,0.591208791209,0.710997442455,0.6,0.967777777778,0.783333333333,0.586458333333,0.707971014493,0.857142857143,0.605128205128,0.607692307692,0.582051282051,0.859477124183,0.857142857143,0.8,0.713609467456,0.886363636364,0.812195121951,0.92,0.454545454545,0.292727272727,0.941690962099,0.672131147541,0.643835616438,0.965458422175,0.638157894737,0.794728434505,0.838676844784,0.873791348601,0.665289256198,0.9,0.963394342762,0.820566631689,0.968431277319,0.8576,0.87135678392,0.98,0.888498683055,0.98175,0.548589341693,0.986666666667,0.762144053601,0.658570630932,0.692908989391,0.988968202466,0.786333333333
9,0.589010989011,0.675191815857,0.633333333333,0.943333333333,0.733333333333,0.580989583333,0.635507246377,0.857142857143,0.607692307692,0.628205128205,0.641025641026,0.908496732026,0.996515679443,0.834285714286,0.705917159763,0.943181818182,0.75756097561,0.92,0.438311688312,0.289090909091,0.939747327502,0.672131147541,0.712328767123,0.947974413646,0.65,0.830670926518,0.839185750636,0.87786259542,0.640495867769,0.9,0.828618968386,0.879328436516,0.960903351141,0.8512,0.797989949749,0.99,0.910447761194,0.97825,0.496865203762,0.986666666667,0.762144053601,0.663595756561,0.695142378559,0.988481505516,0.816
