,Adiac,Beef,CBF,Coffee,DiatomSizeReduction,ECGFiveDays,FaceAll,FaceFour,FacesUCR,GunPoint,ItalyPowerDemand,Lighting7,MedicalImages,MoteStrain,OliveOil,SonyAIBORobotSurface,SonyAIBORobotSurfaceII,SwedishLeaf,Symbols,Trace,TwoLeadECG,syntheticcontrol
0,0.388746803069,0.6,0.992222222222,0.928571428571,0.888888888889,0.897793263647,0.763905325444,0.943181818182,0.88243902439,0.706666666667,0.946550048591,0.671232876712,0.697368421053,0.674920127796,0.866666666667,0.660565723794,0.846799580273,0.8752,0.929648241206,0.85,0.922739244952,0.993333333333
1,0.381074168798,0.566666666667,0.991111111111,0.964285714286,0.908496732026,0.97212543554,0.761538461538,0.943181818182,0.885365853659,0.706666666667,0.955296404276,0.671232876712,0.65,0.882587859425,0.866666666667,0.743760399334,0.90870933893,0.8864,0.931658291457,0.7,0.926251097454,0.993333333333
2,0.37084398977,0.566666666667,0.991111111111,0.928571428571,0.908496732026,0.973286875726,0.762721893491,0.931818181818,0.881463414634,0.706666666667,0.572400388727,0.698630136986,0.667105263158,0.891373801917,0.866666666667,0.660565723794,0.884575026233,0.88,0.933668341709,0.73,0.932396839333,0.993333333333
3,0.37084398977,0.566666666667,0.993333333333,0.964285714286,0.898692810458,0.981416957027,0.765088757396,0.965909090909,0.87512195122,0.706666666667,0.952380952381,0.671232876712,0.646052631579,0.882587859425,0.866666666667,0.782029950083,0.846799580273,0.88,0.92864321608,0.71,0.934152765584,0.993333333333
4,0.393861892583,0.566666666667,0.991111111111,0.964285714286,0.908496732026,0.983739837398,0.759763313609,0.943181818182,0.902926829268,0.706666666667,0.741496598639,0.671232876712,0.647368421053,0.88178913738,0.866666666667,0.875207986689,0.8740818468,0.872,0.934673366834,0.77,0.921861281826,0.993333333333
5,0.406649616368,0.566666666667,0.991111111111,0.892857142857,0.898692810458,0.980255516841,0.765680473373,0.943181818182,0.876585365854,0.706666666667,0.951409135083,0.671232876712,0.651315789474,0.888178913738,0.866666666667,0.743760399334,0.910807974816,0.8816,0.957788944724,0.73,0.773485513608,0.993333333333
6,0.470588235294,0.566666666667,0.993333333333,0.928571428571,0.90522875817,0.965156794425,0.763313609467,0.931818181818,0.876097560976,0.706666666667,0.951409135083,0.739726027397,0.710526315789,0.887380191693,0.866666666667,0.861896838602,0.898216159496,0.8768,0.933668341709,0.74,0.95258999122,0.993333333333
7,0.404092071611,0.566666666667,0.99,0.964285714286,0.908496732026,0.995354239257,0.778698224852,0.943181818182,0.903902439024,0.706666666667,0.946550048591,0.671232876712,0.644736842105,0.890575079872,0.866666666667,0.871880199667,0.869884575026,0.8816,0.929648241206,0.88,0.933274802458,0.996666666667
8,0.378516624041,0.566666666667,0.994444444444,0.928571428571,0.908496732026,0.959349593496,0.75798816568,0.943181818182,0.878536585366,0.706666666667,0.954324586978,0.671232876712,0.648684210526,0.888178913738,0.866666666667,0.810316139767,0.8740818468,0.8752,0.943718592965,0.73,0.921861281826,0.993333333333
9,0.375959079284,0.566666666667,0.992222222222,0.928571428571,0.908496732026,0.979094076655,0.763905325444,0.931818181818,0.88,0.706666666667,0.954324586978,0.671232876712,0.643421052632,0.886581469649,0.866666666667,0.87853577371,0.749213011542,0.872,0.929648241206,0.71,0.920983318701,0.996666666667
